"election_year","state","office_id","office_name","office_level","office_branch","district_id","district_ocdid","district_name","district_type","parent_district_id","parent_district_name","race_id","race_type","seats_up_for_election","race_url","election_date_id","election_date","election_date_district_type","stage_id","stage","stage_party","is_partisan_primary","stage_is_canceled","stage_is_ranked_choice","stage_write_in_other_votes","candidate_id","person_id","name","first_name","last_name","ballotpedia_url","gender","party_affiliation","is_incumbent","candidate_status","is_write_in","is_withdrawn_still_on_ballot","votes_for","votes_against","delegates_pledged","ranked_choice_voting_round"
2024,"WI","115192","Mayville Common Council District 2","Local","Legislative","92601","ocd-division/country:us/state:wi/place:mayville","Mayville","City-town",NULL,NULL,"134627","Regular",1,NULL,"28166","2024-04-02","State","216253","General",NULL,NULL,"false","false",NULL,"229839","543023","Joseph Tillmann","Joseph","Tillmann","https://ballotpedia.org/Joseph_Tillmann_(Mayville_Common_Council_District_2,_Wisconsin,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"SC","118244","Greenville County Council District 25","Local","Legislative","13227","ocd-division/country:us/state:sc/county:greenville","Greenville","County",NULL,NULL,"139995","Regular",1,NULL,"26127","2024-11-05","State","241422","General",NULL,NULL,"false","false",NULL,"244043","555915","Ennis M. Fant","Ennis","Fant","https://ballotpedia.org/Ennis_M._Fant_(Greenville_County_Council_District_25,_South_Carolina,_candidate_2024)",NULL,"Democratic Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"IL","134016","Massac County Commissioner Board At-large","Local","Legislative","11567","ocd-division/country:us/state:il/county:massac","Massac","County",NULL,NULL,"156802","Regular",1,NULL,"26100","2024-11-05","State","242395","General",NULL,NULL,"false","false",NULL,"282282","596570","Jeff Brugger","Jeff","Brugger","https://ballotpedia.org/Jeff_Brugger_(Massac_County_Commissioner_Board_At-large,_Illinois,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"KY","134805","Edmonton City Council At-large","Local","Legislative","73764","ocd-division/country:us/state:ky/place:edmonton","Edmonton","City-town",NULL,NULL,"158997","Regular",6,NULL,"26104","2024-11-05","State","245242","General",NULL,NULL,"false","false",NULL,"285678","600077","Tommy England","Tommy","England","https://ballotpedia.org/Tommy_England_(Edmonton_City_Council_At-large,_Kentucky,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MI","120867","Cheboygan County Treasurer","Local","Executive","12058","ocd-division/country:us/state:mi/county:cheboygan","Cheboygan","County",NULL,NULL,"143014","Regular",1,NULL,"26109","2024-11-05","State","252304","General",NULL,NULL,"false","false",NULL,"254858","566428","Buffy Jo Weldon","Buffy","Weldon","https://ballotpedia.org/Buffy_Jo_Weldon_(Cheboygan_County_Treasurer,_Michigan,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"CA","127750","Oakdale City Clerk","Local","Executive","66685","ocd-division/country:us/state:ca/place:oakdale","Oakdale","City-town",NULL,NULL,"154715","Regular",1,NULL,"26092","2024-11-05","State","240121","General",NULL,NULL,"false","false",NULL,"277886","591794","Patrick Mondragon","Patrick","Mondragon","https://ballotpedia.org/Patrick_Mondragon_(Oakdale_City_Clerk,_California,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"OH","113204","Morrow County Recorder","Local","Executive","12912","ocd-division/country:us/state:oh/county:morrow","Morrow","County",NULL,NULL,"132495","Regular",1,NULL,"28035","2024-03-19","State","214011","Primary","Republican Party","true","false","false",NULL,"226490","539643","Jerry Newell","Jerry","Newell","https://ballotpedia.org/Jerry_Newell_(Morrow_County_Recorder,_Ohio,_candidate_2024)",NULL,"Republican Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"CA","127080","Livermore City Council District 3","Local","Legislative","66481","ocd-division/country:us/state:ca/place:livermore","Livermore","City-town",NULL,NULL,"154382","Regular",1,NULL,"26092","2024-11-05","State","239787","General",NULL,NULL,"false","false",NULL,"277029","590937","Jeff Kaskey","Jeff","Kaskey","https://ballotpedia.org/Jeff_Kaskey_(Livermore_City_Council_District_3,_California,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"WY","120246","Rock Springs City Council Ward III","Local","Legislative","93514","ocd-division/country:us/state:wy/place:rock_springs","Rock Springs","City-town",NULL,NULL,"141903","Regular",1,NULL,"26137","2024-11-05","State","250665","General",NULL,NULL,"false","false",NULL,"252922","564338","Larry Hickerson","Larry","Hickerson","https://ballotpedia.org/Larry_Hickerson_(Rock_Springs_City_Council_Ward_III,_Wyoming,_candidate_2024)",NULL,"Nonpartisan",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
2024,"MI","120979","Macomb County Prosecuting Attorney","Local","Executive","12092","ocd-division/country:us/state:mi/county:macomb","Macomb","County",NULL,NULL,"145327","Regular",1,NULL,"26109","2024-11-05","State","255367","General",NULL,NULL,"false","false",NULL,"258850","570420","Christina Hines","Christina","Hines","https://ballotpedia.org/Christina_Hines_(Macomb_County_Prosecuting_Attorney,_Michigan,_candidate_2024)","Female","Democratic Party",NULL,"On the Ballot","false","false",NULL,NULL,NULL,NULL
